date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:07:36	580/580	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Apr%202022%2011:07:53%20GMT	https://themesbrand.com/velzon/html/	C:/My%20Web%20Sites/dashboard/themesbrand.com/velzon/html/index.html	(from )
13:07:38	31/31	---M--	200	added ('OK')	text/plain	etag:%221f-5ccf82d636e40%22	https://themesbrand.com/robots.txt		(from )
13:07:39	148/148	---M--	200	added ('OK')	image/gif	etag:%2294-3e9564c23b600%22	https://themesbrand.com/icons/blank.gif	C:/My%20Web%20Sites/dashboard/themesbrand.com/icons/blank.gif	(from https://themesbrand.com/velzon/html/)
13:07:44	580/580	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Apr%202022%2011:07:57%20GMT	https://themesbrand.com/velzon/html/?C=M;O=A	C:/My%20Web%20Sites/dashboard/themesbrand.com/velzon/html/indexf8a0.html	(from https://themesbrand.com/velzon/html/)
13:07:44	580/580	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Apr%202022%2011:07:57%20GMT	https://themesbrand.com/velzon/html/?C=N;O=D	C:/My%20Web%20Sites/dashboard/themesbrand.com/velzon/html/indexc052.html	(from https://themesbrand.com/velzon/html/)
13:07:47	580/580	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Apr%202022%2011:08:00%20GMT	https://themesbrand.com/velzon/html/?C=S;O=A	C:/My%20Web%20Sites/dashboard/themesbrand.com/velzon/html/indexbfec.html	(from https://themesbrand.com/velzon/html/)
13:07:49	580/580	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Apr%202022%2011:08:02%20GMT	https://themesbrand.com/velzon/html/?C=D;O=A	C:/My%20Web%20Sites/dashboard/themesbrand.com/velzon/html/index30b5.html	(from https://themesbrand.com/velzon/html/)
13:07:58	580/580	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Apr%202022%2011:08:11%20GMT	https://themesbrand.com/velzon/html/?C=N;O=A	C:/My%20Web%20Sites/dashboard/themesbrand.com/velzon/html/indexb70a.html	(from https://themesbrand.com/velzon/html/?C=N;O=D)
13:07:58	580/580	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Apr%202022%2011:08:11%20GMT	https://themesbrand.com/velzon/html/?C=S;O=D	C:/My%20Web%20Sites/dashboard/themesbrand.com/velzon/html/index5851.html	(from https://themesbrand.com/velzon/html/?C=S;O=A)
13:07:58	580/580	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Apr%202022%2011:08:11%20GMT	https://themesbrand.com/velzon/html/?C=D;O=D	C:/My%20Web%20Sites/dashboard/themesbrand.com/velzon/html/indexad3f.html	(from https://themesbrand.com/velzon/html/?C=D;O=A)
13:08:03	580/580	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Apr%202022%2011:08:21%20GMT	https://themesbrand.com/velzon/html/?C=M;O=D	C:/My%20Web%20Sites/dashboard/themesbrand.com/velzon/html/index72c9.html	(from https://themesbrand.com/velzon/html/?C=M;O=A)
